BIC Scores from Folder,BIC Values from Specific File,MIX_MF
6294.2652,6315.626,-21.3608
5619.5702,5619.873,-0.3028
17915.4377,17969.208,-53.7703
4536.8338,4608.019,-71.1852
2613.8271,2661.465,-47.6379
14482.1963,14497.632,-15.4357
4453.3685,4504.473,-51.1045
4161.0072,4172.051,-11.0438
7368.3071,7382.22,-13.9129
3937.4474,3965.594,-28.1466
5464.2696,5465.896,-1.6264
5344.6472,5399.925,-55.2778
8017.9793,8102.413,-84.4337
7034.3415,7049.548,-15.2065
6561.6322,6624.428,-62.7958
4073.3184,4085.146,-11.8276
2011.7805,2054.715,-42.9345
4450.4934,4473.806,-23.3126
1759.9616,1847.32,-87.3584
5125.5571,5156.077,-30.5199
6539.8088,6595.625,-55.8162
5620.3399,5693.752,-73.4121
4962.0714,4980.662,-18.5906
18523.5562,18539.229,-15.6728
7930.6054,7955.247,-24.6416
2710.456,2737.67,-27.214
10873.643,10899.453,-25.81
4159.8211,4253.743,-93.9219
4382.0616,4380.398,1.6636
8192.1517,8203.215,-11.0633
3415.1814,3428.664,-13.4826
4811.883,4819.068,-7.185
7631.5147,7709.135,-77.6203
11419.8223,11535.205,-115.3827
2924.2776,2947.619,-23.3414
6045.8935,6067.682,-21.7885
3999.4942,4022.146,-22.6518
5192.4351,5205.336,-12.9009
5609.3213,5639.961,-30.6397
3193.6762,3228.816,-35.1398
3525.6134,3533.379,-7.7656
14315.5543,14351.504,-35.9497
4818.3021,4826.1,-7.7979
15786.1284,15826.985,-40.8566
7751.0212,7777.488,-26.4668
2815.1278,2815.924,-0.7962
3197.8179,3228.7,-30.8821
5316.6677,5328.59,-11.9223
17602.3012,17657.915,-55.6138
5763.9261,5794.774,-30.8479
10882.2126,10963.657,-81.4444
7780.3989,7809.819,-29.4201
4475.0842,4517.664,-42.5798
6109.0657,6133.278,-24.2123
2860.4152,2886.527,-26.1118
2596.2833,2635.4,-39.1167
12659.7591,12747.437,-87.6779
2725.7369,2729.345,-3.6081
15906.1197,15958.981,-52.8613
8419.2498,8462.863,-43.6132
6786.4431,6800.801,-14.3579
2488.5828,2761.057,-272.4742
18636.71,18716.52,-79.81
13556.8943,13578.746,-21.8517
8038.6479,8074.485,-35.8371
6804.1336,6830.872,-26.7384
12148.1085,12177.718,-29.6095
7673.7542,7755.988,-82.2338
4242.6959,4277.139,-34.4431
11286.7147,11336.477,-49.7623
7344.3894,7354.263,-9.8736
1560.8172,1598.192,-37.3748
2437.2394,2449.378,-12.1386
4908.7653,4958.52,-49.7547
5124.2014,5136.207,-12.0056
3344.1778,3410.948,-66.7702
5948.4439,5987.268,-38.8241
6629.9949,6662.022,-32.0271
4610.4797,4623.695,-13.2153
17351.836,17489.292,-137.456
3422.3292,3440.475,-18.1458
3007.6871,3010.249,-2.5619
2476.3271,2481.963,-5.6359
2021.7957,2026.282,-4.4863
2192.0831,2273.473,-81.3899
2189.5686,2205.266,-15.6974
4521.8662,4558.57,-36.7038
4293.2917,4323.032,-29.7403
16633.4998,16736.854,-103.3542
8991.2222,9048.776,-57.5538
16403.4426,16468.314,-64.8714
6526.0275,6558.42,-32.3925
1492.9075,1563.199,-70.2915
12508.8975,12563.53,-54.6325
8553.1037,8564.664,-11.5603
4958.849,4978.621,-19.772
3745.4765,3758.687,-13.2105
5627.3945,5657.279,-29.8845
2606.5104,2654.008,-47.4976
3740.4427,3759.063,-18.6203
1486.5803,1508.638,-22.0577
5605.7789,5632.77,-26.9911
4125.1067,4133.674,-8.5673
5545.711,5547.097,-1.386
3370.3082,3398.012,-27.7038
6605.0581,6644.311,-39.2529
2217.0597,2278.465,-61.4053
4866.4196,4872.695,-6.2754
3705.1982,3723.736,-18.5378
4786.5985,4801.626,-15.0275
2831.1642,2857.834,-26.6698
8070.6414,8077.833,-7.1916
22332.2576,22550.806,-218.5484
2409.6578,2419.547,-9.8892
19426.6976,19491.638,-64.9404
3182.0006,3219.694,-37.6934
8343.4586,8386.513,-43.0544
2748.1822,2749.274,-1.0918
9144.3422,9201.293,-56.9508
2097.941,2112.735,-14.794
2027.4077,2034.137,-6.7293
5073.8047,5111.198,-37.3933
2620.7301,2661.649,-40.9189
4961.2989,4978.681,-17.3821
315.759,510.832,-195.073
9609.83,9738.327,-128.497
11722.317,11749.328,-27.011
5586.1976,5616.209,-30.0114
18510.5953,18561.391,-50.7957
2631.8168,2640.993,-9.1762
2717.876,2724.803,-6.927
1253.386,1298.082,-44.696
4342.2508,4371.789,-29.5382
6484.467,6501.072,-16.605
5225.5321,5249.922,-24.3899
3336.3838,3345.876,-9.4922
9081.3009,9101.066,-19.7651
1468.0863,1520.667,-52.5807
6840.4951,6849.81,-9.3149
10781.0589,10807.446,-26.3871
6044.1056,6076.251,-32.1454
7149.6434,7182.597,-32.9536
19001.8107,19087.056,-85.2453
22179.1579,22248.395,-69.2371
8661.394,8748.392,-86.998
15627.951,15670.412,-42.461
7006.3101,7059.444,-53.1339
17460.5982,17488.047,-27.4488
7041.4757,7084.833,-43.3573
1983.2741,2013.327,-30.0529
3983.9748,4010.804,-26.8292
2148.5793,2167.238,-18.6587
2646.9095,2661.797,-14.8875
1889.9681,1926.917,-36.9489
2378.0304,2396.174,-18.1436
2929.9596,2969.34,-39.3804
9615.0054,9650.172,-35.1666
15406.6284,15467.257,-60.6286
4658.9866,4693.325,-34.3384
10306.374,10346.32,-39.946
4148.5435,4159.689,-11.1455
3782.642,3786.605,-3.963
9566.4397,9638.184,-71.7443
5715.0168,5724.215,-9.1982
2958.235,2980.092,-21.857
1911.1803,1973.813,-62.6327
4793.9626,4795.944,-1.9814
5091.5935,5101.025,-9.4315
1509.5782,1513.548,-3.9698
3993.663,4010.869,-17.206
5852.7403,5860.257,-7.5167
7720.4815,7758.816,-38.3345
4464.6303,4466.285,-1.6547
4645.5631,4674.232,-28.6689
5678.2921,5718.367,-40.0749
3616.8745,3624.406,-7.5315
8111.8641,8122.618,-10.7539
17671.0459,17767.008,-95.9621
1742.5621,1814.807,-72.2449
17666.9472,17731.209,-64.2618
4140.8404,4186.909,-46.0686
3867.0267,3870.942,-3.9153
3887.3018,3906.595,-19.2932
2994.8429,3035.457,-40.6141
3653.8356,3678.897,-25.0614
375.0395,579.487,-204.4475
2295.9522,2303.567,-7.6148
3124.1353,3124.335,-0.1997
5855.6308,5915.425,-59.7942
9254.72,9302.502,-47.782
3679.2846,3685.217,-5.9324
2856.4672,2898.205,-41.7378
4856.7151,4865.886,-9.1709
1568.3963,1628.029,-59.6327
4549.8201,4558.376,-8.5559
1146.8234,1225.025,-78.2016
4467.4682,4515.589,-48.1208
327.0384,523.697,-196.6586
2332.412,2342.7,-10.288
1258.1217,1291.165,-33.0433
1890.8505,1942.755,-51.9045
6758.1367,6854.259,-96.1223
4218.8481,4259.444,-40.5959
8185.8836,8286.638,-100.7544
8377.6971,8410.708,-33.0109
2074.5385,2125.158,-50.6195
14100.4872,14264.769,-164.2818
4694.4615,4696.444,-1.9825
5237.6369,5261.499,-23.8621
7283.6462,7311.294,-27.6478
25135.9014,25226.707,-90.8056
10722.6492,10789.828,-67.1788
3457.7241,3480.743,-23.0189
11729.5214,11793.306,-63.7846
2410.3179,2430.502,-20.1841
16091.3158,16174.479,-83.1632
6395.4034,6418.905,-23.5016
7161.2827,7188.185,-26.9023
12937.9683,12962.82,-24.8517
3458.1878,3464.39,-6.2022
19218.7158,19297.248,-78.5322
6282.8567,6337.871,-55.0143
4914.6288,4958.37,-43.7412
5171.8809,5207.38,-35.4991
5284.8476,5320.122,-35.2744
14531.4494,14600.789,-69.3396
24392.4661,24503.453,-110.9869
7842.4375,7894.724,-52.2865
5687.8488,5696.186,-8.3372
3985.6195,4030.503,-44.8835
46801.3067,46867.255,-65.9483
7015.9945,7021.566,-5.5715
719.1271,872.694,-153.5669
2889.7188,2899.486,-9.7672
23476.9066,23590.192,-113.2854
3401.1391,3415.215,-14.0759
1149.1093,1202.957,-53.8477
2467.5497,2473.989,-6.4393
4429.953,4457.472,-27.519
9752.1946,9813.86,-61.6654
17016.9321,17049.713,-32.7809
4320.888,4330.071,-9.183
13327.5624,13390.134,-62.5716
1861.9833,1912.339,-50.3557
1578.6005,1592.491,-13.8905
3296.773,3317.277,-20.504
9761.947,9765.502,-3.555
2459.9765,2500.652,-40.6755
5151.3611,5175.915,-24.5539
5450.9172,5487.948,-37.0308
4265.6896,4318.856,-53.1664
4844.7812,4852.69,-7.9088
4757.2501,4798.747,-41.4969
4900.1372,4921.689,-21.5518
23211.1277,23320.254,-109.1263
5177.5887,5181.624,-4.0353
6455.6181,6489.142,-33.5239
10920.5248,10946.305,-25.7802
1675.8241,1713.525,-37.7009
6841.0972,6847.125,-6.0278
1281.4954,1321.965,-40.4696
1732.0093,1743.225,-11.2157
5541.1072,5556.48,-15.3728
4489.2882,4533.744,-44.4558
13610.3445,13651.225,-40.8805
6948.4429,6996.184,-47.7411
4920.6542,4949.705,-29.0508
4369.6385,4408.146,-38.5075
24483.688,24542.585,-58.897
17422.3546,17541.535,-119.1804
9562.5604,9609.46,-46.8996
21601.5487,21705.994,-104.4453
3422.8687,3426.744,-3.8753
4660.2032,4701.97,-41.7668
6527.5205,6553.253,-25.7325
2197.8498,2229.252,-31.4022
24049.7772,24138.01,-88.2328
2668.9634,2711.562,-42.5986
3266.1263,3266.164,-0.0377
9107.8085,9127.574,-19.7655
2333.1355,2357.624,-24.4885
