ID,Mixture_Model,Model_Count
chr10_1000000_1010000,"MIX{TVM+FO,JC,HKY+FO}+G4",3
chr10_10070000_10080000,TVM+FO+G4,1
chr10_1010000_1020000,"MIX{K3Pu+FO,JC,K2P}+G4",3
chr10_10150000_10160000,"MIX{TVM+FO,JC}+G4",2
chr10_10180000_10190000,TVM+FO+G4,1
chr10_10200000_10210000,"MIX{TPM2u+FO,TPM2u+FO}+G4",2
chr10_10260000_10270000,"MIX{TVM+FO,K2P}+G4",2
chr10_10270000_10280000,"MIX{TPM2u+FO,K2P}+R2",2
chr10_10290000_10300000,"MIX{TVM+FO,JC,HKY+FO}+R2",3
chr10_1040000_1050000,"MIX{TPM3u+FO,JC}+G4",2
chr10_10420000_10430000,K2P+G4,1
chr10_10440000_10450000,"MIX{K2P,JC}+G4",2
chr10_10450000_10460000,"MIX{TIM3+FO,JC,TPM3}+G4",3
chr10_10460000_10470000,"MIX{TVM+FO,JC}+G4",2
chr10_10470000_10480000,"MIX{TIM3+FO,JC,TNe}+I+R2",3
chr10_10490000_10500000,"MIX{TIM2+FO,JC,K2P}+G4",3
chr10_10500000_10510000,"MIX{TPM3u+FO,JC}+R2",2
chr10_1050000_1060000,"MIX{GTR+FO,TPM2u+FO}+G4",2
chr10_10520000_10530000,"MIX{TVM+FO,K3Pu+FO}+G4",2
chr10_10530000_10540000,TPM3u+FO+G4,1
chr10_10540000_10550000,TVM+FO+G4,1
chr10_10570000_10580000,"MIX{TPM3u+FO,JC}+R2",2
chr10_10580000_10590000,"MIX{K2P,JC,TN+FO}+G4",3
chr10_10600000_10610000,"MIX{TVM+FO,TPM3}+G4",2
chr10_1060000_1070000,"MIX{GTR+FO,TNe}+G4",2
chr10_10650000_10660000,"MIX{TIM2+FO,TIM2e}+I+R2",2
chr10_10660000_10670000,TPM3+G4,1
chr10_10670000_10680000,"MIX{TIM3+FO,TPM3u+FO}+G4",2
chr10_10690000_10700000,"MIX{TIM2+FO,JC}+G4",2
chr10_10710000_10720000,"MIX{TPM3u+FO,F81+FO}+G4",2
chr10_10730000_10740000,"MIX{TVM+FO,JC}+R2",2
chr10_10740000_10750000,"MIX{TPM3,TVMe}+G4",2
chr10_10760000_10770000,"MIX{TPM2u+FO,JC}+G4",2
chr10_10770000_10780000,"MIX{TVM+FO,JC}+G4",2
chr10_10790000_10800000,"MIX{K2P,JC}+G4",2
chr10_10810000_10820000,"MIX{GTR+FO,JC,HKY+FO}+I+R2",3
chr10_10820000_10830000,"MIX{TIM2+FO,JC,TPM3}+R2",3
chr10_10830000_10840000,TPM3+I+R2,1
chr10_10840000_10850000,"MIX{TPM2u+FO,K2P,JC}+G4",3
chr10_10850000_10860000,TPM3+G4,1
chr10_10860000_10870000,"MIX{TPM2u+FO,JC}+G4",2
chr10_10890000_10900000,"MIX{TVM+FO,JC,K2P}+G4",3
chr10_10900000_10910000,TVM+FO+G4,1
chr10_10910000_10920000,TVM+FO+R2,1
chr10_11170000_11180000,"MIX{GTR+FO,JC}+I+R2",2
chr10_11230000_11240000,"MIX{TPM2,JC}+G4",2
chr10_11250000_11260000,"MIX{TPM2,K3Pu+FO}+G4",2
