File_IDs,BIC Scores from Folder,BIC Values from Specific File,MIX_MF
R00006,6294.2652,6315.626,-21.3608
R00007,5619.5702,5619.873,-0.3028
R00012,17915.4377,17969.208,-53.7703
R00016,4536.8338,4608.019,-71.1852
R00026,2613.8271,2661.465,-47.6379
R00032,14482.1963,14497.632,-15.4357
R00036,4453.3685,4504.473,-51.1045
R00074,4161.0072,4172.051,-11.0438
R00088,7368.3071,7382.22,-13.9129
R00090,3937.4474,3965.594,-28.1466
R00091,5464.2696,5465.896,-1.6264
R00098,5344.6472,5399.925,-55.2778
R00109,8017.9793,8102.413,-84.4337
R00112,7034.3415,7049.548,-15.2065
R00115,6561.6322,6624.428,-62.7958
R00118,4073.3184,4085.146,-11.8276
R00119,2011.7805,2054.715,-42.9345
R00124,4450.4934,4473.806,-23.3126
R00142,1759.9616,1847.32,-87.3584
R00144,5125.5571,5156.077,-30.5199
R00146,6539.8088,6595.625,-55.8162
R00148,5620.3399,5693.752,-73.4121
R00152,4962.0714,4980.662,-18.5906
R00163,18523.5562,18539.229,-15.6728
R00166,7930.6054,7955.247,-24.6416
R00168,2710.456,2737.67,-27.214
R00182,10873.643,10899.453,-25.81
R00185,4159.8211,4253.743,-93.9219
R00187,4382.0616,4380.398,1.6636
R00190,8192.1517,8203.215,-11.0633
R00194,3415.1814,3428.664,-13.4826
R00195,4811.883,4819.068,-7.185
R00196,7631.5147,7709.135,-77.6203
R00198,11419.8223,11535.205,-115.3827
R00200,2924.2776,2947.619,-23.3414
R00201,6045.8935,6067.682,-21.7885
R00214,3999.4942,4022.146,-22.6518
R00218,5192.4351,5205.336,-12.9009
R00219,5609.3213,5639.961,-30.6397
R00223,3193.6762,3228.816,-35.1398
R00224,3525.6134,3533.379,-7.7656
R00225,14315.5543,14351.504,-35.9497
R00227,4818.3021,4826.1,-7.7979
R00228,15786.1284,15826.985,-40.8566
R00229,7751.0212,7777.488,-26.4668
R00235,2815.1278,2815.924,-0.7962
R00242,3197.8179,3228.7,-30.8821
R00243,5316.6677,5328.59,-11.9223
R00249,17602.3012,17657.915,-55.6138
R00257,5763.9261,5794.774,-30.8479
R00258,10882.2126,10963.657,-81.4444
R00259,7780.3989,7809.819,-29.4201
R00264,4475.0842,4517.664,-42.5798
R00269,6109.0657,6133.278,-24.2123
R00271,2860.4152,2886.527,-26.1118
R00272,2596.2833,2635.4,-39.1167
R00274,12659.7591,12747.437,-87.6779
R00275,2725.7369,2729.345,-3.6081
R00284,15906.1197,15958.981,-52.8613
R00287,8419.2498,8462.863,-43.6132
R00289,6786.4431,6800.801,-14.3579
R00293,2488.5828,2761.057,-272.4742
R00295,18636.71,18716.52,-79.81
R00300,13556.8943,13578.746,-21.8517
R00301,8038.6479,8074.485,-35.8371
R00302,6804.1336,6830.872,-26.7384
R00304,12148.1085,12177.718,-29.6095
R00310,7673.7542,7755.988,-82.2338
R00312,4242.6959,4277.139,-34.4431
R00313,11286.7147,11336.477,-49.7623
R00341,7344.3894,7354.263,-9.8736
R00345,1560.8172,1598.192,-37.3748
R00346,2437.2394,2449.378,-12.1386
R00349,4908.7653,4958.52,-49.7547
R00363,5124.2014,5136.207,-12.0056
R00365,3344.1778,3410.948,-66.7702
R00366,5948.4439,5987.268,-38.8241
R00369,6629.9949,6662.022,-32.0271
R00370,4610.4797,4623.695,-13.2153
R00371,17351.836,17489.292,-137.456
R00376,3422.3292,3440.475,-18.1458
R00377,3007.6871,3010.249,-2.5619
R00381,2476.3271,2481.963,-5.6359
R00382,2021.7957,2026.282,-4.4863
R00385,2192.0831,2273.473,-81.3899
R00387,2189.5686,2205.266,-15.6974
R00388,4521.8662,4558.57,-36.7038
R00393,4293.2917,4323.032,-29.7403
R00394,16633.4998,16736.854,-103.3542
R00397,8991.2222,9048.776,-57.5538
R00398,16403.4426,16468.314,-64.8714
R00400,6526.0275,6558.42,-32.3925
R00402,1492.9075,1563.199,-70.2915
R00405,12508.8975,12563.53,-54.6325
R00407,8553.1037,8564.664,-11.5603
R00408,4958.849,4978.621,-19.772
R00409,3745.4765,3758.687,-13.2105
R00411,5627.3945,5657.279,-29.8845
R00412,2606.5104,2654.008,-47.4976
R00416,3740.4427,3759.063,-18.6203
R00419,1486.5803,1508.638,-22.0577
R00421,5605.7789,5632.77,-26.9911
R00428,4125.1067,4133.674,-8.5673
R00431,5545.711,5547.097,-1.386
R00435,3370.3082,3398.012,-27.7038
R00436,6605.0581,6644.311,-39.2529
R00439,2217.0597,2278.465,-61.4053
R00440,4866.4196,4872.695,-6.2754
R00444,3705.1982,3723.736,-18.5378
R00446,4786.5985,4801.626,-15.0275
R00448,2831.1642,2857.834,-26.6698
R00449,8070.6414,8077.833,-7.1916
R00450,22332.2576,22550.806,-218.5484
R00451,2409.6578,2419.547,-9.8892
R00452,19426.6976,19491.638,-64.9404
R00453,3182.0006,3219.694,-37.6934
