ID,Mixture_Model,Model_Count
R00006,"MIX{TIM3e,JC}+G4",2
R00007,TIM3+FO+I,1
R00012,"MIX{TPM3u+FO,JC}+I+R2",2
R00016,"MIX{TIM3e,TPM3,JC}+G4",3
R00026,"MIX{K2P,HKY+FO}+I",2
R00032,"MIX{TPM3u+FO,TIM3+FO,JC}+G4",3
R00036,"MIX{TPM3,TPM3}+R2",2
R00074,"MIX{TPM3u+FO,TPM2u+FO}+G4",2
R00088,"MIX{TN+FO,JC}+I",2
R00090,TIM+FO+I,1
R00091,TIM3+FO+I,1
R00098,TIM3+FO+G4,1
R00109,"MIX{TPM3u+FO,TPM3}+I",2
R00112,"MIX{TPM3,TNe}+G4",2
R00115,"MIX{TIM3e,JC}+I+R2",2
R00118,TPM2u+FO+G4,1
R00119,"MIX{K2P,JC}+I",2
R00124,"MIX{K2P,JC}+I",2
R00142,"MIX{K2P,F81+FO}+I",2
R00144,K2P+I,1
R00146,"MIX{TPM3u+FO,TPM3}+G4",2
R00148,"MIX{HKY+FO,K2P}+I+G4",2
R00152,"MIX{TN+FO,JC}+I",2
R00163,"MIX{TPM3u+FO,JC}+R3",2
R00166,"MIX{TIM3e,TIM2e}+G4",2
R00168,TN+FO+I,1
R00182,"MIX{TPM3,K3P}+I+R2",2
R00185,"MIX{TPM3,TPM3}+R2",2
R00187,TIM3e+G4,1
R00190,"MIX{TPM3u+FO,K3P}+I",2
R00194,"MIX{HKY+FO,JC}+G4",2
R00195,"MIX{TPM3u+FO,HKY+FO}+G4",2
R00196,"MIX{K3Pu+FO,JC}+G4",2
R00198,"MIX{TIM3+FO,K3Pu+FO,JC}+R2",3
R00200,HKY+FO+I,1
R00201,TPM3u+FO+I,1
R00214,"MIX{TIM3+FO,F81+FO}+G4",2
R00218,"MIX{K2P,F81+FO}+R2",2
R00219,TPM3u+FO+R2,1
R00223,TPM3+I,1
R00224,"MIX{TIM3e,JC}+G4",2
R00225,"MIX{HKY+FO,JC}+R2",2
R00227,TPM3u+FO+G4,1
R00228,"MIX{TPM3u+FO,JC}+R2",2
R00229,HKY+FO+G4,1
R00235,F81+FO+I,1
R00242,"MIX{K2P,JC}+R2",2
R00243,"MIX{K2P,JC}+G4",2
R00249,"MIX{TVM+FO,TPM3,TN+FO}+I+R2",3
R00257,"MIX{TPM3,TPM2u+FO}+I",2
R00258,"MIX{TIM3+FO,TPM3}+G4",2
R00259,"MIX{TIM3+FO,TIM3e}+I+G4",2
R00264,"MIX{TPM3u+FO,TVM+FO}+G4",2
R00269,"MIX{HKY+FO,JC}+I+G4",2
R00271,"MIX{K2P,JC}+I",2
R00272,"MIX{TPM3u+FO,K2P}+R2",2
R00274,"MIX{TPM3u+FO,TPM2,JC,TIM2e}+R2",4
R00275,"MIX{TPM2,K2P}+G4",2
R00284,"MIX{TIM3+FO,TN+FO}+I+G4",2
R00287,"MIX{TIM3+FO,F81+FO}+I+G4",2
R00289,HKY+FO+I,1
R00293,JC,1
R00295,"MIX{TIM3+FO,TPM3}+I+G4",2
R00300,"MIX{TPM3,JC,F81+FO}+I+G4",3
R00301,"MIX{TN+FO,K3P}+G4",2
R00302,"MIX{TN+FO,JC}+I",2
R00304,"MIX{TPM3u+FO,F81+FO}+I",2
R00310,"MIX{TIM3+FO,K3P}+R2",2
R00312,HKY+FO+R2,1
R00313,"MIX{TPM3u+FO,HKY+FO}+I+R2",2
R00341,TIM3+FO+G4,1
R00345,"MIX{HKY+FO,JC}+R2",2
R00346,"MIX{TN+FO,TPM3}+I",2
R00349,"MIX{TIM3+FO,TPM3}+I",2
R00363,TPM3+I,1
R00365,"MIX{TNe,TPM2u+FO}+R2",2
R00366,"MIX{TPM3,JC}+R2",2
R00369,"MIX{TPM3,JC}+I+G4",2
R00370,"MIX{TPM2,TPM2}+I",2
R00371,"MIX{TIM3+FO,JC,TIM3+FO}+I+R2",3
R00376,"MIX{TNe,JC}+G4",2
R00377,HKY+FO+I,1
R00381,"MIX{K3P,JC}+R2",2
R00382,TPM3+R2,1
R00385,F81+FO+I,1
R00387,"MIX{TIM3+FO,TPM3}+R2",2
R00388,"MIX{TPM3,TPM3}+I",2
R00393,"MIX{K2P,JC}+G4",2
R00394,"MIX{TPM3u+FO,F81+FO,K3Pu+FO}+I+G4",3
R00397,"MIX{TIM3+FO,TPM3}+I+G4",2
R00398,"MIX{TPM3u+FO,JC,TIM+FO}+I+R2",3
R00400,"MIX{TPM2u+FO,TPM3}+G4",2
R00402,TIM3+FO+I,1
R00405,"MIX{TN+FO,JC}+I",2
R00407,"MIX{HKY+FO,JC}+R3",2
R00408,"MIX{K2P,JC}+I+G4",2
R00409,"MIX{TPM3,TPM2u+FO}+G4",2
R00411,"MIX{TPM3,TPM3}+G4",2
R00412,"MIX{K2P,K3P,F81+FO}+G4",3
R00416,TPM3u+FO+R2,1
R00419,JC+I,1
R00421,TPM3+G4,1
R00428,TPM3+I,1
R00431,TIM2+FO+I,1
R00435,"MIX{TPM3u+FO,K3P}+I",2
R00436,"MIX{TPM2,TPM2}+G4",2
R00439,JC,1
R00440,"MIX{HKY+FO,JC}+R3",2
R00444,TPM3u+FO+I,1
R00446,TN+FO+I,1
R00448,"MIX{TPM3,K3P}+I+G4",2
R00449,TPM3u+FO+I,1
R00450,"MIX{TPM3u+FO,TPM3,JC,TN+FO,HKY+FO}+I+R2",5
R00451,"MIX{TPM3,JC}+G4",2
R00452,"MIX{HKY+FO,JC}+I+R2",2
R00453,"MIX{K2P,K3P}+I",2
R00455,"MIX{TPM3u+FO,TIM+FO}+I+G4",2
R00456,TPM3u+FO+I,1
R00459,"MIX{TPM2,JC}+I+G4",2
R00460,HKY+FO+G4,1
R00462,TIM2+FO+I,1
R00464,"MIX{TPM3u+FO,JC}+I+R2",2
R00465,TN+FO+I,1
R00466,"MIX{TIM+FO,F81+FO}+I",2
R00467,JC,1
R00468,"MIX{TIM3+FO,TPM3,F81+FO}+I+G4",3
R00472,"MIX{HKY+FO,K2P}+I+G4",2
R00474,"MIX{TN+FO,JC}+I",2
R00475,"MIX{TPM2u+FO,K3P}+I+R2",2
R00479,K2P+I,1
R00481,TPM3+G4,1
R00483,K2P+I,1
R00486,"MIX{K2P,JC}+G4",2
R00487,"MIX{HKY+FO,JC}+R2",2
R00489,"MIX{TPM3,JC}+G4",2
